Start_Date,Assign_ID,Weight_Result,,Start_Date,Assign_ID,Weight_Result
2018-09-04 12:10,P7187447,137.636,,2018-09-18 3:42,P7155606,137.849
2018-09-04 12:32,P7187448,135.754,,2018-09-18 4:02,P7155613,134.801
2018-09-04 12:54,P7187449,135.985,,2018-09-18 4:24,P7155620,137.528
2018-09-04 13:15,P7187450,134.488,,2018-09-18 4:45,P7155627,136.586
2018-09-05 19:48,P7187451,138.594,,2018-09-18 5:06,P7155634,137.493
2018-09-05 20:09,P7187452,136.616,,2018-09-18 5:27,P7155641,139.159
2018-09-05 20:31,P7187453,136.718,,2018-09-18 5:49,P7155648,135.218
2018-09-05 20:53,P7187454,134.173,,2018-09-18 6:10,P7166083,135.3
2018-09-05 21:15,P7187455,136.649,,2018-09-18 6:31,P7187445,134.865
2018-09-05 21:35,P7187456,135.566,,2018-09-18 6:53,P7187446,138.019
2018-09-05 21:57,P7187457,136.875,,2018-09-18 7:14,P7187447,137.878
2018-09-05 22:19,P7187458,134.528,,2018-09-18 7:36,P7187448,135.974
2018-09-05 22:40,P7187459,135.342,,2018-09-18 7:57,P7187449,136.122
2018-09-05 23:01,P7187460,137.041,,2018-09-18 8:19,P7187450,134.63
2018-09-05 23:23,P7187461,137.299,,2018-09-18 8:40,P7187451,138.787
2018-09-05 23:44,P7187462,135.522,,2018-09-18 9:01,P7187452,136.866
2018-09-06 0:08,P7187463,135.164,,2018-09-18 9:22,P7163872,138.652
2018-09-06 0:29,P7187464,137.473,,2018-09-18 9:45,P7163873,138.036
2018-09-06 0:50,P7187465,137.514,,2018-09-18 10:06,P7163874,137.014
2018-09-06 1:12,P7187466,135.023,,2018-09-18 10:28,P7163875,139.584
2018-09-06 1:33,P7187467,136.877,,2018-09-18 10:48,P7163876,139.009
2018-09-06 1:55,P7187468,134.439,,2018-09-18 11:10,P7163877,138.408
2018-09-06 2:16,P7187469,135.406,,2018-09-18 11:31,P7163878,136.527
2018-09-06 2:37,P7187470,137.011,,2018-09-18 11:53,P7163879,135.1
2018-09-06 2:58,P7187471,134.391,,2018-09-18 12:14,P7187202,136.476
2018-09-06 3:22,P7187472,138.015,,2018-09-18 12:35,P7163852,139.865
2018-09-06 3:44,P7187473,137.732,,2018-09-18 12:57,P7163853,134.897
2018-09-06 4:06,P7187474,136.368,,2018-09-18 13:18,P7163854,140.53
2018-09-06 4:27,P7187475,138.419,,2018-09-18 13:39,P7163855,137.504
2018-09-06 4:48,P7187476,136.181,,2018-09-18 14:00,P7163856,138.799
2018-09-06 5:09,P7187477,136.518,,2018-09-18 14:21,P7163857,136.876
2018-09-06 5:30,P7187478,135.614,,2018-09-18 14:42,P7163858,135.267
2018-09-06 5:51,P7187479,133.971,,2018-09-19 16:40,P7187462,135.534
2018-09-06 6:12,P7187480,134.725,,2018-09-19 17:01,P7187463,135.442
2018-09-06 6:36,P7187481,136.059,,2018-09-19 17:22,P7166054,135.653
2018-09-06 6:57,P7187482,135.567,,2018-09-19 17:43,P7166059,138.469
2018-09-06 7:20,P7187483,134.868,,2018-09-19 18:04,P7166060,138.002
2018-09-06 7:41,P7187484,133.671,,2018-09-19 18:26,P7166061,139.217
2018-09-06 8:02,P7187485,135.774,,2018-09-19 18:47,P7166062,139.26
2018-09-06 8:24,P7187486,136.348,,2018-09-19 19:08,P7166063,140.423
2018-09-06 8:46,P7187487,136.431,,2018-09-19 19:29,P7166064,138.19
2018-09-06 9:07,P7187488,136.716,,2018-09-19 19:51,P7186922,139.294
2018-09-06 9:28,P7187489,133.781,,2018-09-19 20:12,P7186923,137.838
2018-09-06 9:50,P7187490,135.83,,2018-09-19 20:34,P7186924,138.502
2018-09-06 10:11,P7187491,135.993,,2018-09-19 20:54,P7186925,138.006
2018-09-06 10:33,P7187492,134.549,,2018-09-19 21:16,P7186929,137.722
2018-09-06 10:55,P7187493,136.509,,2018-09-19 21:37,P7186930,138.841
2018-09-06 11:16,P7187494,134.817,,2018-09-19 21:58,P7186931,138.416
2018-09-06 11:37,P7187495,137.733,,2018-09-19 22:19,P7186936,138.341
2018-09-06 12:00,P7187496,137.35,,2018-09-19 22:40,P7186937,138.595
2018-09-06 12:20,P7187497,136.881,,2018-09-19 23:04,P7186938,137.356
2018-09-06 12:42,P7187498,135.6,,2018-09-19 23:24,P7186939,137.748
2018-09-06 13:05,P7187499,137.836,,2018-09-19 23:46,P7186943,136.415
2018-09-06 13:27,P7187500,138.363,,2018-09-20 0:07,P7186944,138.218
2018-09-06 13:48,P7186901,137.661,,2018-09-20 0:27,P7186945,138.879
2018-09-06 14:10,P7186902,137.176,,2018-09-20 0:49,P7186946,138.729
2018-09-06 14:31,P7186903,137.443,,2018-09-20 1:10,P7186950,137.947
2018-09-06 14:53,P7186904,138.858,,2018-09-20 1:30,P7155601,138.575
2018-09-06 15:15,P7186905,139.049,,2018-09-20 1:51,P7155602,137.587
2018-09-06 15:35,P7186906,139.198,,2018-09-20 2:12,P7155603,138.043
2018-09-06 15:56,P7186907,137.417,,2018-09-20 2:33,P7155607,138.128
2018-09-06 16:18,P7186908,137.658,,2018-09-20 2:53,P7155608,138.323
2018-09-06 16:40,P7186909,137.918,,2018-09-20 3:14,P7155609,135.817
2018-09-07 17:48,P7186910,137.623,,2018-09-20 3:57,P7155614,134.902
2018-09-07 18:09,P7186911,137.687,,2018-09-20 4:18,P7155615,138.124
