"Time.N","Assign_ID","Wgt.N"
"2018-05-17 4:19","7K09332",157.2307
"2018-05-17 4:39","7K09333",158.1327
"2018-05-17 5:00","7K09334",157.4547
"2018-05-17 5:20","7K09335",157.1817
"2018-05-17 5:41","7K09336",156.996
"2018-05-17 6:02","7K09337",156.5283
"2018-05-17 6:22","7K09338",158.3025
"2018-05-17 6:45","7K09339",157.2103
"2018-05-17 7:07","7K09340",156.9258
"2018-05-17 7:28","7K09341",159.1678
"2018-05-17 7:48","7K09342",159.9403
"2018-05-17 8:08","7K09343",159.9688
"2018-05-17 8:29","7K09344",159.7103
"2018-05-17 9:41","7K09345",158.8357
"2018-05-17 10:02","7K09346",159.3815
"2018-05-17 10:22","7K09347",158.946
"2018-05-17 10:43","7K09348",159.5843
"2018-05-17 11:04","7K09349",159.2332
"2018-05-17 11:24","7K09350",159.3703
"2018-05-17 11:45","7K09801",156.9347
"2018-05-17 12:06","7K09802",157.2375
"2018-05-17 12:27","7K09803",157.3068
"2018-05-17 12:48","7K09804",157.6963
"2018-05-17 13:10","7K09805",157.447
"2018-05-17 13:32","7K09806",158.0955
"2018-05-17 13:52","7K09807",158.0705
"2018-05-17 14:13","7K09808",157.4098
"2018-05-17 14:33","7K09809",157.6957
"2018-05-17 14:53","7K09810",157.054
"2018-05-17 15:14","7K09811",158.2328
"2018-05-17 15:35","7K09812",165.6725
"2018-05-17 15:56","7K09813",164.3375
"2018-05-17 16:16","7K09814",162.426
"2018-05-17 16:37","7K09815",158.958
"2018-05-17 16:57","7K09816",157.5307
"2018-05-17 17:18","7K09817",156.476
"2018-05-17 17:39","7K09818",158.4702
"2018-05-17 18:00","7K09819",158.6435
"2018-05-17 18:21","7K09820",158.698
"2018-05-17 18:42","7K09821",159.4517
"2018-05-17 19:02","7K09822",158.0853
"2018-05-17 19:23","7K09823",157.6828
"2018-05-17 19:45","7K09824",157.514
"2018-05-17 20:07","7K09825",157.0015
"2018-05-17 20:27","7K09826",157.3707
"2018-05-17 20:48","7K09827",156.0793
"2018-05-17 21:08","7K09828",155.8627
"2018-05-17 21:29","7K09829",157.7818
"2018-05-17 21:50","7K09830",157.783
"2018-05-17 22:11","7K09831",157.5075
"2018-05-17 22:32","7K09832",157.1238
"2018-05-17 22:52","7K09833",157.5417
"2018-05-17 23:13","7K09834",157.9782
"2018-05-17 23:33","7K09835",157.7288
"2018-05-17 23:54","7K09836",157.0473
"2018-05-18 0:15","7K09837",156.4305
"2018-05-18 0:36","7K09838",156.5163
"2018-05-18 0:56","7K09839",157.5555
"2018-05-18 1:17","7K09840",156.8702
"2018-05-18 1:38","7K09841",157.101
"2018-05-18 1:59","7K09842",156.5497
"2018-05-18 2:22","7K09843",157.097
"2018-05-18 2:43","7K09844",157.054
"2018-05-18 3:05","7K09845",157.3883
"2018-05-18 3:26","7K09846",157.5427
"2018-05-18 3:47","7K09847",156.3613
"2018-05-18 4:08","7K09848",157.2137
"2018-05-18 4:29","7K09849",157.1287
"2018-05-18 4:50","7K09850",157.6128
"2018-05-18 5:11","7K09001",158.0837
"2018-05-18 5:32","7K09002",158.0495
"2018-05-18 5:52","7K09003",157.7063
"2018-05-18 6:13","7K09004",157.1478
"2018-05-18 6:34","7K09005",157.7437
"2018-05-18 6:55","7K09006",158.1333
"2018-05-18 7:17","7K09007",158.47
"2018-05-18 7:38","7K09008",158.1375
"2018-05-18 8:00","7K09009",158.0455
"2018-05-18 8:20","7K09010",156.8313
"2018-05-18 8:44","7K09011",158.0242
"2018-05-18 9:05","7K09012",157.6405
"2018-05-18 9:27","7K09013",157.0922
"2018-05-18 9:48","7K09014",157.2038
"2018-05-18 10:08","7K09015",157.436
"2018-05-18 10:30","7K09016",157.737
"2018-05-19 2:56","7K09017",158.029
"2018-05-19 3:18","7K09018",158.0205
"2018-05-19 3:39","7K09019",157.5222
"2018-05-19 4:00","7K09020",157.5042
"2018-05-19 4:24","7K09021",157.4095
"2018-05-19 4:46","7K09022",158.9897
"2018-05-19 5:07","7K09023",158.1232
"2018-05-19 5:28","7K09024",158.218
"2018-05-19 5:49","7K09025",156.9533
"2018-05-19 6:10","7K09026",157.6888
"2018-05-19 6:31","7K09027",157.163
"2018-05-19 6:53","7K09028",157.5663
"2018-05-19 7:14","7K09029",157.7958
"2018-05-19 7:36","7K09030",157.82
"2018-05-19 7:58","7K09031",157.3412
"2018-05-19 8:19","7K09032",157.0663
"2018-05-19 8:41","7K09033",157.7573
"2018-05-19 9:03","7K09034",158.1492
"2018-05-19 9:24","7K09035",157.9783
"2018-05-19 9:45","7K09036",156.816
"2018-05-19 10:07","7K09037",158.9833
"2018-05-19 10:28","7K09038",159.3547
"2018-05-19 10:52","7K09039",159.2735
"2018-05-19 11:15","7K09040",159.1678
"2018-05-19 11:36","7K09041",158.2833
"2018-05-19 11:57","7K09042",158.2547
"2018-05-19 12:18","7K09043",158.3738
"2018-05-19 12:39","7K09044",159.4733
"2018-05-19 13:00","7K09045",157.0035
"2018-05-19 13:21","7K09046",158.3807
"2018-05-19 13:42","7K09047",156.5937
"2018-05-19 14:03","7K09048",157.8067
"2018-05-19 14:25","7K09049",157.6663
"2018-05-19 14:46","7K09050",158.2753
"2018-05-19 15:07","7K09251",160.0552
"2018-05-19 15:29","7K09252",160.048
"2018-05-19 15:50","7K09253",160.6432
"2018-05-19 16:11","7K09254",159.5653
"2018-05-19 16:33","7K09255",158.8568
"2018-05-19 16:54","7K09256",159.2522
"2018-05-19 17:17","7K09257",159.0262
"2018-05-19 17:39","7K09258",159.1838
"2018-05-19 18:01","7K09259",159.32
"2018-05-19 18:22","7K09260",158.8565
"2018-05-19 18:43","7K09261",158.7138
"2018-05-19 19:04","7K09262",158.5365
"2018-05-21 9:17","7K09263",157.3937
"2018-05-21 9:38","7K09264",157.9328
"2018-05-21 9:59","7K09265",157.8025
"2018-05-21 10:20","7K09266",158.7158
"2018-05-21 10:42","7K09267",157.7963
"2018-05-21 11:03","7K09268",159.0063
"2018-05-21 11:24","7K09269",158.4003
"2018-05-21 11:45","7K09270",159.2468
"2018-05-21 12:05","7K09271",159.1548
"2018-05-21 12:26","7K09272",159.3333
"2018-05-21 12:47","7K09273",158.9432
"2018-05-21 13:08","7K09274",158.7332
"2018-05-21 13:32","7K09275",158.1845
"2018-05-21 13:53","7K09276",158.9028
"2018-05-21 14:13","7K09277",158.2613
"2018-05-21 14:35","7K09278",158.2958
"2018-05-21 14:56","7K09279",159.4602
"2018-05-21 15:18","7K09280",157.9992
"2018-05-21 15:38","7K09281",157.9452
"2018-05-21 16:00","7K09282",156.927
"2018-05-21 16:20","7K09283",157.588
"2018-05-21 16:41","7K09284",158.1883
"2018-05-21 18:03","7K09285",157.7387
"2018-05-21 18:24","7K09286",158.42
"2018-05-21 18:45","7K09287",158.0675
"2018-05-21 19:06","7K09288",159.0752
"2018-05-21 19:26","7K09289",158.4907
"2018-05-21 19:47","7K09290",158.8393
"2018-05-21 20:11","7K09291",158.5653
"2018-05-21 20:32","7K09292",159.477
"2018-05-21 20:54","7K09293",159.4608
"2018-05-21 21:15","7K09294",158.6345
"2018-05-21 21:35","7K09295",158.9218
"2018-05-21 21:56","7K09296",159.8862
"2018-05-21 22:17","7K09297",158.9165
"2018-05-21 22:38","7K09298",160.0097
"2018-05-21 22:59","7K09299",159.4303
"2018-05-21 23:20","7K09300",159.4978
"2018-05-21 23:41","7S18351",159.3505
"2018-05-22 0:03","7S18352",156.9023
"2018-05-22 0:24","7S18353",158.2895
"2018-05-22 0:45","7S18354",159.0113
"2018-05-22 1:06","7S18355",157.3847
"2018-05-22 1:27","7S18356",158.4307
"2018-05-22 1:49","7S18357",157.2442
"2018-05-22 2:10","7S18358",158.368
"2018-05-22 2:33","7S18359",158.552
"2018-05-22 2:54","7S18360",157.7072
"2018-05-22 3:15","7S18361",158.586
"2018-05-22 3:36","7S18362",157.311
"2018-05-22 3:57","7S18363",159.162
"2018-05-22 4:19","7S18364",156.801
"2018-05-22 4:40","7S18365",157.5917
"2018-05-22 5:01","7S18366",158.844
"2018-05-22 5:21","7S18367",158.8665
"2018-05-22 5:43","7S18368",158.2763
"2018-05-22 6:04","7S18369",158.6858
"2018-05-22 6:25","7S18370",158.5948
"2018-05-22 6:46","7S18371",157.8108
"2018-05-22 7:07","7S18372",160.5847
"2018-05-22 7:28","7S18373",157.3832
"2018-05-22 7:48","7S18374",159.8267
"2018-05-22 8:09","7S18375",157.6433
"2018-05-22 8:29","7S18376",157.38
"2018-05-22 8:51","7S18377",157.2908
"2018-05-22 9:14","7S18378",157.1305
"2018-05-22 9:35","7S18379",157.7395
"2018-05-22 9:56","7S18380",158.0753
"2018-05-22 10:17","7S18381",158.5025
"2018-05-22 10:38","7S18382",159.9958
"2018-05-22 10:59","7S18383",158.3208
"2018-05-22 11:20","7S18384",159.0687
"2018-05-22 11:41","7S18385",158.3883
"2018-05-22 12:03","7S18386",158.745
"2018-05-22 12:25","7S18387",158.2773
"2018-05-22 12:46","7S18388",158.3638
