"Time.S","Assign_ID","Wgt.S"
"2018-05-18 20:15","7S16142",158.603
"2018-05-18 20:36","7S16143",157.195
"2018-05-18 20:58","7S16674",157.819
"2018-05-18 21:19","7S16675",158.975
"2018-05-18 21:42","7S16676",157.724
"2018-05-18 22:04","7S16677",159.522
"2018-05-18 22:24","7S16678",160.193
"2018-05-18 22:45","7S16679",158.931
"2018-05-18 23:06","7S16680",157.482
"2018-05-18 23:27","7S16681",160.35
"2018-05-18 23:48","7S16682",157.71
"2018-05-19 0:09","7S16683",157.25
"2018-05-19 0:30","7S16684",159.96
"2018-05-19 0:51","7K09724",157.359
"2018-05-19 1:12","7K09725",158.231
"2018-05-19 1:33","7K09726",160.306
"2018-05-19 1:54","7K09727",158.738
"2018-05-19 2:15","7K09728",158.3
"2018-05-19 2:36","7K09729",159.686
"2018-05-20 18:26","7P14692",157.107
"2018-05-20 18:46","7P14693",159.077
"2018-05-20 19:07","7P14694",159.429
"2018-05-20 19:28","7P14695",158.108
"2018-05-20 19:48","7P14696",158.351
"2018-05-20 20:10","7P14697",158.383
"2018-05-20 20:31","7P14699",158.906
"2018-05-20 20:52","7S16873",158.214
"2018-05-20 21:13","7S16874",158.91
"2018-05-20 21:33","7S16875",159.357
"2018-05-20 21:54","7S16876",159.668
"2018-05-20 22:15","7S16877",157.463
"2018-05-20 22:37","7S16878",158.362
"2018-05-20 22:59","7S16879",159.256
"2018-05-20 23:20","7S16880",161.696
"2018-05-20 23:41","7S16881",159.141
"2018-05-21 0:02","7S16882",158.787
"2018-05-21 0:22","7S16883",159.423
"2018-05-21 0:46","7P14680",158.769
"2018-05-21 1:07","6B29851",156.182
"2018-05-21 1:27","6B29852",159.306
"2018-05-21 1:49","6B29853",158.857
"2018-05-21 2:10","6B29854",159.622
"2018-05-21 2:31","6B29855",155.775
"2018-05-21 2:52","6B29856",156.816
"2018-05-21 3:14","6B29857",157.323
"2018-05-21 3:35","6B29877",156.248
"2018-05-21 3:56","6B29878",156.962
"2018-05-21 4:17","6B29879",157.123
"2018-05-21 4:38","6B29880",156.728
"2018-05-21 4:58","6B29881",156.805
"2018-05-21 5:19","6B29882",157.24
"2018-05-21 5:41","6B29883",156.483
"2018-05-21 6:02","6B29884",155.07
"2018-05-21 6:24","6B29858",154.965
"2018-05-21 6:45","6B29860",156.897
"2018-05-21 7:09","6B29861",156.223
"2018-05-21 7:32","6B29872",155.244
"2018-05-21 7:53","6B29873",155.221
"2018-05-21 8:14","6B29874",156.017
"2018-05-21 8:35","6B29875",155.053
"2018-05-21 8:56","6B29876",156.944
"2018-05-22 17:22","7K09740",158.055
"2018-05-22 17:43","7K09741",157.851
"2018-05-22 18:04","7K09742",158.865
"2018-05-22 18:25","7K09743",157.484
"2018-05-22 18:46","7K09744",156.86
"2018-05-22 19:07","7K09890",157.353
"2018-05-22 19:28","7K09301",158.799
"2018-05-22 19:49","7K09302",159.033
"2018-05-22 20:09","7K09303",157.771
"2018-05-23 13:20","7K09304",158.008
"2018-05-23 13:42","7K09305",158.354
"2018-05-23 14:03","7K09306",158.373
"2018-05-23 14:23","7K09307",157.284
"2018-05-23 14:44","7K09308",157.922
"2018-05-23 15:05","7K09309",157.041
"2018-05-23 15:27","7S16884",159.125
"2018-05-23 15:48","7S16885",157.182
"2018-05-23 16:09","7S16886",158.734
"2018-05-23 16:30","7S16887",159.504
"2018-05-23 16:51","7S16888",158.066
"2018-05-23 17:14","7S16889",157.965
"2018-05-23 17:35","7S16890",158.482
"2018-05-23 17:56","7S16891",158.584
